subrogation,claim_number,year_of_born,gender,email_or_tel_available,safety_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,vehicle_made_year,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,age_of_DL,accident_type,in_network_bodyshop,vehicle_mileage
1,6090851,1990,F,0,75,70966,1,1,Rent,80040,12/4/2016,Saturday,Parking Area,7,Y,31,Broker,1,3218.84,2021,Large,16272.12725,red,21620.79697,25,multi_vehicle_clear,no,75421
0,4653734,1972,F,1,94,79723,1,1,Rent,80030,4/25/2015,Wednesday,Parking Area,0,N,34,Phone,1,1338.52,2025,Medium,34102.78197,silver,10840.5852,23,multi_vehicle_clear,yes,31988
0,1014777,2003,F,1,76,41527,1,1,Own,50012,6/22/2015,Thursday,Unknown,2,N,39,Broker,1,3540.05,2022,Compact,15000,silver,24318.12282,23,multi_vehicle_unclear,yes,60876
1,8101873,1983,F,1,54,42099,1,1,Rent,20138,3/2/2015,Saturday,Unknown,0,N,32,Phone,1,1507.94,2025,Medium,16984.45295,white,36958.26656,23,multi_vehicle_unclear,yes,152772
0,5081870,1985,F,1,54,47206,1,1,Own,50033,1/12/2016,Sunday,Highway/Intersection,14,N,28,Online,0,5080.63,2021,Compact,46545.72863,blue,11779.17422,17,multi_vehicle_clear,yes,41151
0,6723161,2002,M,1,95,88645,1,0,Rent,50005,10/25/2016,Monday,Unknown,0,N,48,Phone,1,2129.24,2021,Compact,15000,black,20814.04703,26,single_car,no,104986
0,5614715,1965,F,1,93,76946,0,0,Own,80027,10/4/2015,Wednesday,Local,0,N,53,Broker,0,568.92,2020,Large,15000,black,18049.06487,18,single_car,no,44837
0,7910228,1967,F,0,90,57836,1,1,Own,20148,10/11/2015,Tuesday,Highway/Intersection,0,N,42,Broker,0,3225.25,2022,Medium,30728.89812,gray,27526.74415,21,single_car,yes,97181
0,3766827,1958,M,0,75,38542,0,1,Own,15009,11/11/2016,Wednesday,Unknown,0,N,44,Broker,0,2703.43,2026,Large,15000,blue,17907.0948,22,multi_vehicle_unclear,no,67395
0,6847058,1987,M,1,79,117178,0,1,Own,50050,9/17/2015,Sunday,Parking Area,0,N,25,Online,1,1868.3,2024,Large,29082.89096,gray,22682.11218,24,multi_vehicle_unclear,yes,88224
1,5405384,1990,M,0,70,36736,1,1,Own,15017,9/20/2015,Wednesday,Local,14,Y,32,Phone,1,742.34,2023,Large,15000,black,8034.240569,26,multi_vehicle_clear,no,28724
0,6103948,1983,F,1,87,44777,0,1,Own,50025,4/30/2016,Wednesday,Unknown,0,N,52,Phone,1,786.04,2025,Medium,15000,black,12574.98089,19,single_car,no,83163
0,3906840,1984,M,1,61,55390,1,1,Rent,50028,9/24/2015,Tuesday,Local,4,N,25,Phone,0,2845.11,2023,Medium,15000,blue,43933.79788,30,multi_vehicle_clear,yes,93389
1,2199195,1994,M,1,90,30015,0,1,Own,15025,6/10/2016,Wednesday,Parking Area,3,Y,33,Online,0,2863.62,2023,Medium,37713.15869,gray,19951.7194,20,single_car,yes,125191
0,4201906,1979,M,1,60,30147,1,1,Rent,20104,4/13/2015,Tuesday,Unknown,7,N,48,Online,1,1529.46,2022,Medium,54455.43356,gray,19665.55332,21,single_car,yes,80223
1,8209514,1965,F,1,72,33446,1,0,Rent,50008,5/3/2016,Thursday,Parking Area,3,Y,38,Online,0,1596.05,2022,Medium,15000,black,34027.72301,19,multi_vehicle_clear,no,39157
0,8715790,1992,M,1,92,124993,1,1,Rent,80016,7/4/2015,Sunday,Local,0,N,47,Broker,1,3793.66,2022,Compact,15000,other,14394.06076,19,single_car,yes,71524
0,5645470,1971,F,0,78,48218,1,1,Own,80030,4/12/2016,Tuesday,Local,0,N,57,Phone,1,3289.34,2025,Medium,20046.81891,other,20713.45008,28,single_car,yes,151161
0,3192810,1974,M,0,56,89483,0,0,Own,20134,6/18/2016,Wednesday,Highway/Intersection,9,Y,44,Phone,1,4892.95,2022,Compact,15000,gray,22612.33121,18,multi_vehicle_clear,yes,53824
1,8619054,1956,F,1,48,80914,0,0,Own,85027,7/4/2015,Tuesday,Parking Area,0,Y,35,Broker,0,5150.61,2022,Medium,15000,red,28088.89158,19,multi_vehicle_unclear,yes,70287
1,7116107,1989,M,0,85,30015,0,1,Own,50052,10/29/2016,Tuesday,Highway/Intersection,0,Y,29,Phone,1,4994.5,2021,Compact,15000,gray,11327.29354,20,multi_vehicle_clear,yes,45029
0,1020399,1990,F,0,64,42636,1,0,Own,15053,1/28/2015,Thursday,Unknown,11,N,48,Phone,0,2545.97,2025,Compact,15000,blue,34254.13017,23,multi_vehicle_unclear,yes,114022
0,1299595,1954,F,1,69,31089,1,1,Own,20132,10/31/2016,Tuesday,Highway/Intersection,0,N,44,Broker,1,1532.67,2026,Medium,15000,silver,19638.87026,27,multi_vehicle_clear,no,65778
0,9439407,2004,M,1,68,83835,1,1,Rent,15025,10/4/2015,Friday,Parking Area,4,Y,23,Online,0,1972.9,2020,Medium,52894.92182,blue,15814.61357,25,single_car,yes,88724
0,8823174,1992,M,1,68,91342,1,1,Rent,50049,1/26/2015,Saturday,Highway/Intersection,0,N,47,Online,0,237.59,2023,Compact,15000,white,15304.90966,20,single_car,yes,93462
0,4631839,1980,F,1,93,37278,1,0,Rent,50008,1/14/2015,Friday,Highway/Intersection,0,N,44,Broker,0,2589.93,2023,Medium,16266.34258,white,17926.15347,18,single_car,yes,48733
0,5251993,1983,M,1,100,46860,1,1,Own,85021,1/19/2015,Monday,Parking Area,0,Y,37,Broker,1,521.91,2020,Compact,35272.62644,blue,29496.80676,21,multi_vehicle_clear,yes,142052
0,4869264,1977,M,1,86,106817,1,0,Own,85070,12/16/2015,Tuesday,Local,0,N,50,Broker,0,7852.85,2022,Medium,30464.8511,black,25863.6635,22,single_car,yes,55150
0,5737542,1988,M,1,74,39063,1,1,Own,15051,2/22/2016,Saturday,Local,0,N,41,Online,0,6021.52,2026,Compact,15000,other,24596.01713,21,multi_vehicle_unclear,yes,38421
0,2261150,1988,M,1,95,60030,0,0,Rent,80033,8/17/2015,Wednesday,Unknown,0,Y,17,Broker,0,10390.48,2021,Compact,51090.64872,gray,17079.56281,19,multi_vehicle_unclear,yes,58095
1,8724543,1975,M,1,39,75808,1,1,Rent,15001,5/19/2015,Monday,Local,0,N,28,Broker,1,2053.51,2025,Medium,30864.49739,red,28426.89151,28,single_car,yes,89364
0,2914776,1974,F,1,70,43001,1,0,Own,80104,3/5/2016,Monday,Highway/Intersection,0,N,38,Phone,1,6560.2,2027,Compact,15000,white,9627.257964,27,multi_vehicle_unclear,yes,60718
0,5389498,1985,F,0,81,46315,0,1,Rent,80047,5/12/2015,Friday,Local,8,Y,42,Online,1,675.05,2023,Compact,15000,blue,19857.17858,21,multi_vehicle_unclear,yes,57583
0,7699461,1975,F,0,47,80390,1,0,Rent,50048,7/12/2015,Monday,Highway/Intersection,10,N,45,Phone,0,2221.2,2024,Compact,51576.99672,other,15236.47529,20,single_car,yes,87099
0,8988779,2001,M,0,72,40995,0,1,Rent,80026,10/21/2016,Thursday,Parking Area,3,N,42,Online,1,3328.17,2023,Compact,59278.49719,other,31387.37971,23,single_car,yes,71595
0,9118605,1981,F,1,49,30015,1,1,Own,20129,9/26/2015,Thursday,Parking Area,0,N,42,Broker,1,2329.85,2022,Large,15468.54493,other,15049.80099,17,multi_vehicle_clear,yes,141705
0,3339130,1994,M,0,88,30015,1,0,Rent,50021,6/2/2016,Wednesday,Local,0,Y,45,Phone,0,664.34,2026,Medium,47829.30507,other,24058.27886,23,multi_vehicle_clear,yes,115373
0,5290168,1979,F,1,79,124993,1,1,Rent,50022,7/30/2015,Thursday,Highway/Intersection,17,Y,18,Broker,0,1473.24,2027,Large,81085.06759,white,18245.29265,20,multi_vehicle_unclear,no,81429
0,6629346,1951,M,1,62,35974,1,1,Own,85080,5/22/2016,Friday,Highway/Intersection,20,N,53,Broker,0,4439.33,2015,Large,15000,gray,27497.08773,28,multi_vehicle_unclear,no,124459
1,5648564,1986,M,1,86,61807,1,1,Own,85021,6/10/2016,Thursday,Highway/Intersection,8,N,32,Broker,1,3534.18,2023,Large,15000,gray,5526.535298,21,multi_vehicle_clear,yes,72318
1,1500641,1977,M,1,66,88099,1,1,Own,50051,1/11/2015,Wednesday,Local,0,Y,37,Broker,1,649.91,2024,Compact,22622.32416,blue,3029.421581,21,multi_vehicle_unclear,yes,74945
0,2995317,1954,M,0,80,44370,1,0,Rent,50047,2/27/2015,Wednesday,Parking Area,0,Y,29,Broker,0,2987.14,2025,Compact,28931.71297,silver,20715.18737,25,single_car,no,63530
0,4243415,1969,M,1,73,30015,1,1,Rent,50009,2/14/2016,Sunday,Unknown,0,N,40,Phone,1,5326.54,2026,Medium,74764.29482,other,27645.44619,27,single_car,yes,70114
1,5318455,1975,F,1,90,30015,1,1,Rent,20102,3/22/2016,Friday,Local,11,N,34,Broker,1,5627.02,2022,Medium,15000,white,24974.6066,24,single_car,no,88581
1,7601282,1988,F,1,90,62709,1,1,Own,50054,5/14/2015,Friday,Highway/Intersection,0,N,26,Online,0,711.64,2027,Medium,15000,red,26830.41098,22,multi_vehicle_unclear,no,56725
0,6579883,1991,F,1,79,51076,1,0,Rent,20132,1/3/2015,Saturday,Unknown,0,N,38,Broker,1,14096.63,2018,Medium,30592.11773,red,17921.24096,23,multi_vehicle_clear,yes,87181
0,5258394,1986,F,1,61,120811,0,1,Own,50009,4/21/2016,Thursday,Parking Area,0,N,35,Broker,1,3920.65,2022,Medium,88535.95166,other,19042.43085,21,multi_vehicle_clear,yes,23293
0,4755498,1983,M,1,80,71045,1,1,Own,80033,10/8/2016,Tuesday,Highway/Intersection,12,N,35,Broker,0,1700.23,2027,Medium,22824.72794,silver,16858.43187,28,multi_vehicle_clear,yes,70603
0,6311518,1986,F,1,70,30015,0,1,Rent,85062,2/10/2016,Sunday,Unknown,0,Y,58,Broker,0,4563.85,2023,Compact,15000,other,33071.4354,20,multi_vehicle_clear,no,59410
0,3266443,1995,M,1,75,39485,0,1,Rent,85054,1/6/2015,Saturday,Unknown,0,N,45,Broker,1,889.4,2026,Medium,65948.49545,red,14496.33293,20,single_car,yes,36267
0,6826642,1973,M,1,71,43769,1,1,Own,85040,6/12/2016,Sunday,Parking Area,0,N,26,Phone,1,3571.78,2023,Medium,15000,other,16858.53297,24,multi_vehicle_unclear,yes,51440
0,9035015,1970,F,0,100,57779,1,1,Own,80011,6/11/2016,Thursday,Unknown,0,N,39,Broker,0,7727.16,2022,Large,48490.85975,blue,5905.1771,24,multi_vehicle_clear,no,105766
0,9478981,1966,M,0,65,114606,1,0,Own,85038,10/14/2015,Wednesday,Local,10,N,31,Broker,1,6661.56,2026,Compact,15000,blue,10201.43278,16,multi_vehicle_clear,no,88753
0,9089420,1961,F,1,73,34754,0,0,Own,50032,12/11/2016,Friday,Highway/Intersection,4,N,53,Broker,0,1840.55,2021,Large,15000,white,12930.18244,25,multi_vehicle_clear,no,56842
1,6833840,1981,M,1,77,72406,1,1,Own,85078,9/30/2015,Tuesday,Parking Area,0,N,28,Broker,1,910.56,2024,Large,24692.26439,red,16939.17143,21,multi_vehicle_clear,no,79073
0,3539135,1979,F,1,91,65726,0,1,Own,15025,8/24/2016,Monday,Local,2,Y,43,Phone,1,1765.56,2011,Large,15000,black,26102.39407,21,multi_vehicle_unclear,yes,123234
