claim_number,accident_key,policy_report_filed_ind,witness_present_ind,past_num_of_claims,claim_est_payout
4600769,10.0,1,Y,0.0,21504.28
2731318,4.0,1,Y,0.0,21504.28
1265926,2.0,1,Y,0.0,21504.28
2324370,8.0,1,Y,0.0,21504.28
2604767,9.0,1,Y,0.0,21504.28
4533409,8.0,1,Y,0.0,21504.28
8074214,3.0,1,Y,0.0,21504.28
2387163,1.0,1,Y,0.0,21504.28
9209614,2.0,1,Y,1.0,21504.28
9048960,2.0,1,Y,0.0,21504.28
9873777,3.0,1,Y,14.0,21504.28
7016868,3.0,1,Y,0.0,21504.28
3668651,4.0,1,Y,0.0,21504.28
7565264,8.0,1,Y,8.0,21504.28
8007789,5.0,1,Y,0.0,21504.28
3240408,11.0,1,Y,0.0,21504.28
8567612,4.0,1,Y,3.0,21504.28
5485939,8.0,1,Y,2.0,21504.28
6570298,5.0,1,Y,4.0,21504.28
9924455,2.0,1,Y,0.0,21504.28
7396831,1.0,1,Y,0.0,21504.28
4124709,11.0,1,Y,7.0,21504.28
8456292,10.0,1,Y,11.0,21504.28
3564982,6.0,1,Y,10.0,21504.28
9616582,8.0,1,Y,7.0,21504.28
5359590,4.0,1,Y,0.0,21504.28
4448316,10.0,1,Y,0.0,21504.28
5407151,1.0,1,Y,0.0,21504.28
8053817,2.0,1,Y,5.0,21504.28
5372915,8.0,1,Y,8.0,21504.28
7280421,8.0,1,Y,0.0,21504.28
6811892,4.0,1,Y,15.0,21504.28
9287186,12.0,1,Y,0.0,21504.28
5428943,9.0,1,Y,0.0,21504.28
1022642,12.0,1,Y,0.0,21504.28
7106096,7.0,1,Y,0.0,21504.28
1921144,9.0,1,Y,0.0,21504.28
6474557,5.0,1,Y,1.0,21504.28
7681249,10.0,1,Y,9.0,21504.28
8890445,9.0,1,Y,12.0,21504.28
1476181,12.0,1,Y,0.0,21504.28
8250924,11.0,1,Y,19.0,21504.28
7246490,2.0,1,Y,0.0,21363.81
6837096,2.0,1,Y,8.0,21304.77
5657609,10.0,1,Y,22.0,21284.38
7837391,11.0,1,Y,4.0,21218.14
1857251,8.0,1,Y,5.0,20841.84
1382260,10.0,1,Y,8.0,20836.54
4399413,3.0,1,Y,0.0,20427.16
8587458,7.0,1,Y,0.0,20386.47
7999453,10.0,1,Y,3.0,20294.57
3855384,7.0,1,Y,0.0,19924.76
7826468,4.0,1,Y,8.0,19808.34
6107938,5.0,1,Y,0.0,19726.7
2965667,7.0,1,Y,5.0,19659.77
6269391,1.0,1,Y,2.0,19567.38
1882229,6.0,1,Y,4.0,19367.22
2379479,2.0,1,Y,0.0,19236.54
1888143,12.0,1,Y,0.0,19225.21
1213347,7.0,1,Y,0.0,19174.13
4016123,4.0,1,Y,2.0,19060.26
6890459,8.0,1,Y,12.0,19018.7
6744065,10.0,1,Y,0.0,18740.51
4249982,1.0,1,Y,0.0,18414.95
2963300,5.0,1,Y,0.0,18370.05
3570078,5.0,1,Y,8.0,18195.62
2964389,5.0,1,Y,0.0,17961.39
7538430,6.0,1,Y,3.0,17897.37
5158310,9.0,1,Y,0.0,17764.78
6515763,11.0,1,Y,0.0,17682.24
2352015,9.0,1,Y,1.0,17578.53
6733655,10.0,1,Y,0.0,17508.53
7329317,5.0,1,Y,7.0,17314.53
5375366,11.0,1,Y,0.0,17023.58
8296434,3.0,1,Y,1.0,16846.18
3702548,12.0,1,Y,9.0,16805.58
7359846,10.0,1,Y,9.0,16710.67
5125128,11.0,1,Y,2.0,16683.92
4861482,11.0,1,Y,0.0,16635.33
6771267,1.0,1,Y,0.0,16603.11
6757055,2.0,1,Y,0.0,16595.98
7847975,7.0,1,Y,4.0,16502.29
7276595,7.0,1,Y,0.0,16475.46
3657994,12.0,1,Y,0.0,16365.39
6255535,12.0,1,Y,0.0,16262.14
5355388,8.0,1,Y,3.0,16211.05
6502886,2.0,1,Y,0.0,16192.79
5678698,5.0,1,Y,0.0,16083.46
5160117,10.0,1,Y,0.0,16078.02
5860466,6.0,1,Y,0.0,16020.42
5922735,8.0,1,Y,0.0,16018.13
3653188,10.0,1,Y,12.0,15915.47
1782403,2.0,1,Y,0.0,15907.67
2662189,1.0,1,Y,0.0,15886.2
6144241,11.0,1,Y,2.0,15857.04
