metric,value
target_variable,claim_est_payout
mse,13248382.646219807
r2_score,-0.0012975353121018607
num_samples,17999
coef_is_multi_vehicle,43.92636121582788
coef_has_witness,-7.105427357601002e-14
coef_has_police_report,110.52744459236669
coef_in_network,8.881784197001252e-16
coef_has_subrogation,-55.49541643152791
coef_liab_prct,5.013485039333809
coef_accident_site_encoded,7.962535069775161
coef_accident_type_encoded,31.425459155136743
coef_channel_encoded,-27.617743462657245
intercept,3297.3449417343504
