annual_income,high_education_ind,email_or_tel_available,address_change_ind,living_status,past_num_of_claims,policyholder_key
70966,1,0,1,Rent,7,1
79723,1,1,1,Rent,0,2
41527,1,1,1,Own,2,3
42099,1,1,1,Rent,0,4
47206,1,1,1,Own,14,5
88645,1,1,0,Rent,0,6
76946,0,1,0,Own,0,7
57836,1,0,1,Own,0,8
38542,0,0,1,Own,0,9
117178,0,1,1,Own,0,10
36736,1,0,1,Own,14,11
44777,0,1,1,Own,0,12
55390,1,1,1,Rent,4,13
30015,0,1,1,Own,3,14
30147,1,1,1,Rent,7,15
33446,1,1,0,Rent,3,16
124993,1,1,1,Rent,0,17
48218,1,0,1,Own,0,18
89483,0,0,0,Own,9,19
80914,0,1,0,Own,0,20
30015,0,0,1,Own,0,21
42636,1,0,0,Own,11,22
31089,1,1,1,Own,0,23
83835,1,1,1,Rent,4,24
91342,1,1,1,Rent,0,25
37278,1,1,0,Rent,0,26
46860,1,1,1,Own,0,27
106817,1,1,0,Own,0,28
39063,1,1,1,Own,0,29
60030,0,1,0,Rent,0,30
75808,1,1,1,Rent,0,31
43001,1,1,0,Own,0,32
46315,0,0,1,Rent,8,33
80390,1,0,0,Rent,10,34
40995,0,0,1,Rent,3,35
30015,1,1,1,Own,0,36
30015,1,0,0,Rent,0,37
124993,1,1,1,Rent,17,38
35974,1,1,1,Own,20,39
61807,1,1,1,Own,8,40
88099,1,1,1,Own,0,41
44370,1,0,0,Rent,0,42
30015,1,1,1,Rent,0,43
30015,1,1,1,Rent,11,44
62709,1,1,1,Own,0,45
51076,1,1,0,Rent,0,46
120811,0,1,1,Own,0,47
71045,1,1,1,Own,12,48
30015,0,1,1,Rent,0,49
39485,0,1,1,Rent,0,50
43769,1,1,1,Own,0,51
57779,1,0,1,Own,0,52
114606,1,0,0,Own,10,53
34754,0,1,0,Own,4,54
72406,1,1,1,Own,0,55
65726,0,1,1,Own,2,56
93128,1,1,0,Rent,0,57
73089,1,1,0,Own,0,58
33574,1,1,1,Rent,11,59
41776,1,1,0,Rent,6,60
83408,1,1,1,Own,8,61
90598,0,1,0,Rent,0,62
34834,0,0,1,Own,17,63
30015,1,0,1,Own,0,64
59338,1,1,0,Rent,0,65
124993,0,1,1,Rent,0,66
30015,0,0,0,Own,2,67
33114,1,0,0,Own,0,68
65041,0,0,0,Own,0,69
59899,1,1,1,Rent,0,70
58182,0,1,1,Rent,0,71
65933,1,1,1,Rent,0,72
33414,1,1,0,Own,0,73
30015,0,0,1,Rent,0,74
44684,0,0,1,Own,15,75
40573,1,1,1,Rent,16,76
33241,1,0,0,Rent,17,77
60717,1,1,1,Rent,0,78
60724,1,1,0,Rent,1,79
81584,1,1,1,Rent,16,80
124993,1,0,1,Rent,17,81
30015,1,1,1,Own,13,82
124993,1,0,1,Own,0,83
124993,1,0,0,Own,16,84
37557,1,0,0,Own,0,85
124993,0,1,0,Rent,3,86
30015,1,1,0,Own,0,87
47554,1,1,0,Rent,2,88
124993,1,1,0,Own,3,89
50604,1,1,0,Rent,1,90
30015,0,1,1,Own,0,91
42423,1,1,1,Own,5,92
