vehicle_made_year,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,vehicle_mileage,vehicle_key
2021,Large,16272.12725,red,21620.79697,75421,1
2025,Medium,34102.78197,silver,10840.5852,31988,2
2022,Compact,15000,silver,24318.12282,60876,3
2025,Medium,16984.45295,white,36958.26656,152772,4
2021,Compact,46545.72863,blue,11779.17422,41151,5
2021,Compact,15000,black,20814.04703,104986,6
2020,Large,15000,black,18049.06487,44837,7
2022,Medium,30728.89812,gray,27526.74415,97181,8
2026,Large,15000,blue,17907.0948,67395,9
2024,Large,29082.89096,gray,22682.11218,88224,10
2023,Large,15000,black,8034.240569,28724,11
2025,Medium,15000,black,12574.98089,83163,12
2023,Medium,15000,blue,43933.79788,93389,13
2023,Medium,37713.15869,gray,19951.7194,125191,14
2022,Medium,54455.43356,gray,19665.55332,80223,15
2022,Medium,15000,black,34027.72301,39157,16
2022,Compact,15000,other,14394.06076,71524,17
2025,Medium,20046.81891,other,20713.45008,151161,18
2022,Compact,15000,gray,22612.33121,53824,19
2022,Medium,15000,red,28088.89158,70287,20
2021,Compact,15000,gray,11327.29354,45029,21
2025,Compact,15000,blue,34254.13017,114022,22
2026,Medium,15000,silver,19638.87026,65778,23
2020,Medium,52894.92182,blue,15814.61357,88724,24
2023,Compact,15000,white,15304.90966,93462,25
2023,Medium,16266.34258,white,17926.15347,48733,26
2020,Compact,35272.62644,blue,29496.80676,142052,27
2022,Medium,30464.8511,black,25863.6635,55150,28
2026,Compact,15000,other,24596.01713,38421,29
2021,Compact,51090.64872,gray,17079.56281,58095,30
2025,Medium,30864.49739,red,28426.89151,89364,31
2027,Compact,15000,white,9627.257964,60718,32
2023,Compact,15000,blue,19857.17858,57583,33
2024,Compact,51576.99672,other,15236.47529,87099,34
2023,Compact,59278.49719,other,31387.37971,71595,35
2022,Large,15468.54493,other,15049.80099,141705,36
2026,Medium,47829.30507,other,24058.27886,115373,37
2027,Large,81085.06759,white,18245.29265,81429,38
2015,Large,15000,gray,27497.08773,124459,39
2023,Large,15000,gray,5526.535298,72318,40
2024,Compact,22622.32416,blue,3029.421581,74945,41
2025,Compact,28931.71297,silver,20715.18737,63530,42
2026,Medium,74764.29482,other,27645.44619,70114,43
2022,Medium,15000,white,24974.6066,88581,44
2027,Medium,15000,red,26830.41098,56725,45
2018,Medium,30592.11773,red,17921.24096,87181,46
2022,Medium,88535.95166,other,19042.43085,23293,47
2027,Medium,22824.72794,silver,16858.43187,70603,48
2023,Compact,15000,other,33071.4354,59410,49
2026,Medium,65948.49545,red,14496.33293,36267,50
2023,Medium,15000,other,16858.53297,51440,51
2022,Large,48490.85975,blue,5905.1771,105766,52
2026,Compact,15000,blue,10201.43278,88753,53
2021,Large,15000,white,12930.18244,56842,54
2024,Large,24692.26439,red,16939.17143,79073,55
2011,Large,15000,black,26102.39407,123234,56
2027,Medium,38478.45129,black,13849.73483,130582,57
2022,Large,35067.39625,white,5892.891087,500,58
2023,Large,15000,silver,24443.95635,95790,59
2025,Compact,15000,white,11279.2113,77825,60
2023,Compact,36014.87982,silver,28755.61983,63721,61
2024,Medium,15000,black,15610.0752,87792,62
2024,Medium,15000,blue,31858.79469,50471,63
2021,Compact,15000,gray,38349.07565,62812,64
2016,Compact,15000,black,40119.57735,62038,65
2026,Large,15000,white,27487.43847,73291,66
2022,Large,24810.1869,silver,65010.55193,117344,67
2023,Compact,15000,blue,45311.1722,77860,68
2027,Large,15000,silver,21938.15711,76068,69
2027,Medium,20265.11076,red,24179.57849,134366,70
2013,Large,15000,red,9360.960445,67548,71
2014,Compact,40457.07102,other,52515.00377,90245,72
2019,Medium,15000,white,21427.70829,65090,73
2026,Large,16523.33672,other,14559.54872,80937,74
2026,Medium,23185.71262,white,21281.58505,64078,75
2027,Compact,62225.3898,silver,38022.1988,75134,76
2022,Large,15000,white,17997.82428,36822,77
2026,Large,61253.596,gray,15456.72841,139212,78
2021,Medium,15000,black,15445.70337,65908,79
2024,Compact,15000,gray,13909.34063,93359,80
2019,Large,34579.69713,gray,14904.26863,148833,81
2025,Compact,15000,silver,22104.30213,18941,82
2024,Compact,48458.19825,other,14886.60456,112375,83
2024,Compact,15000,blue,29501.4245,77872,84
2023,Large,38130.00062,blue,29600.85729,81159,85
2021,Large,15000,red,29544.93028,81056,86
2022,Large,26663.68734,blue,48841.46829,109978,87
2027,Medium,18787.60302,blue,14021.51265,99804,88
2025,Medium,75272.24485,blue,12714.91953,76625,89
2024,Compact,15000,red,35989.88679,75121,90
2026,Medium,15000,red,6911.881089,64636,91
2016,Compact,15000,silver,26179.59103,86250,92
2023,Large,48974.15589,silver,9581.066287,29465,93
2026,Large,15000,white,14098.28979,97818,94
2022,Compact,55460.28395,gray,26830.41098,110836,95
2026,Medium,43299.51413,silver,18844.80199,55500,96
2025,Large,18594.35513,gray,15690.59166,35344,97
2023,Large,44727.17374,silver,18594.74082,61509,98
2027,Medium,15000,gray,28890.82046,81269,99
2022,Large,55543.66641,red,23217.73281,104173,100
2022,Medium,44820.54681,white,32044.8846,57917,101
2018,Medium,15000,silver,20120.82374,65229,102
2026,Medium,15000,red,17341.5557,69842,103
2026,Large,66250.54756,other,34272.13486,72616,104
2026,Large,58552.33054,white,13454.46268,85576,105
2026,Large,74726.93628,other,52422.01753,126842,106
2022,Large,15000,black,42899.73309,108097,107
2024,Medium,83420.79297,silver,21254.51634,16611,108
2025,Large,22993.08432,gray,13877.92703,46362,109
2023,Large,15000,white,25048.35679,66864,110
2024,Medium,15000,other,20180.13319,53020,111
2013,Large,15000,silver,17742.71576,46146,112
2022,Compact,24690.29826,white,35656.31101,139348,113
2023,Medium,15000,black,8390.335837,73790,114
2024,Compact,65369.26864,silver,25452.09383,105462,115
2024,Compact,15000,red,8974.038888,89929,116
2022,Compact,39680.95727,white,23730.07599,125890,117
2026,Medium,15000,silver,38424.15052,83177,118
2023,Large,15000,other,26003.32383,55334,119
2025,Large,58899.96766,gray,16083.4416,41384,120
2023,Large,15000,silver,28340.10481,42691,121
2023,Large,15000,white,35133.846,81051,122
2027,Medium,15000,gray,39237.76386,136128,123
2023,Compact,22870.91434,silver,35425.62307,53822,124
2025,Large,15000,red,9069.327086,124421,125
2025,Medium,15000,red,18054.53931,107502,126
2015,Large,27639.56013,white,13221.05131,120204,127
2027,Medium,58384.12215,gray,10109.40842,23909,128
2026,Large,63253.65628,red,23188.2354,102434,129
2024,Compact,15000,black,24474.56955,94080,130
2022,Compact,37489.01825,blue,22999.15265,70476,131
2027,Medium,21843.15533,other,25175.50102,500,132
2022,Compact,20899.95556,gray,9218.589596,85285,133
2022,Medium,104602.5116,black,25727.85778,71452,134
2022,Compact,15000,gray,10760.64444,105103,135
2022,Large,15000,blue,28643.33208,95513,136
2024,Medium,21147.06918,gray,26948.81627,152523,137
2025,Large,46294.23302,white,17434.88784,64856,138
2022,Large,15000,silver,27460.45179,28617,139
2019,Large,15000,white,28556.4887,119651,140
2022,Large,15000,white,54867.18998,89717,141
2026,Compact,15000,white,15081.88647,83412,142
2026,Compact,35067.39625,silver,35421.87928,50544,143
2024,Medium,27231.25559,silver,49371.03779,100734,144
2025,Large,45295.70771,blue,26041.2524,102445,145
2022,Compact,15000,black,16215.00534,125089,146
2026,Large,73951.39705,red,45311.1722,34617,147
2024,Large,15000,gray,11592.60232,99143,148
2003,Large,15000,black,30752.43837,98871,149
2015,Large,15000,blue,22815.92874,129535,150
2026,Compact,15000,black,17633.95295,59743,151
2022,Compact,40191.81049,gray,63887.1187,101408,152
2016,Compact,17273.92159,white,11787.1391,86456,153
2023,Large,15000,black,33276.1974,73001,154
2025,Medium,15000,black,15424.47649,115974,155
2025,Medium,15000,blue,48499.92016,102495,156
2022,Compact,15000,white,22809.09506,38660,157
2012,Medium,41125.31897,blue,18023.11491,87292,158
2024,Compact,15000,black,28183.2351,21640,159
2027,Large,15000,white,26353.985,48348,160
2009,Medium,15000,other,17385.7896,71876,161
2024,Compact,27964.62089,black,48922.28481,50181,162
2018,Large,57971.68994,blue,12436.59079,36585,163
2024,Medium,60870.7866,gray,17048.20023,81332,164
2021,Large,17356.81152,gray,12153.94623,90652,165
2024,Large,15000,blue,37310.96901,122915,166
2022,Compact,15000,other,13017.98684,55202,167
2016,Compact,15000,other,41408.33325,152440,168
2024,Compact,57929.88508,other,22483.43291,100575,169
2016,Compact,40955.29579,black,12498.28424,129452,170
2025,Compact,28294.09882,red,35802.01537,69687,171
2024,Medium,15000,gray,28941.60199,60720,172
2025,Medium,46239.05546,white,25083.54575,60012,173
2020,Large,66301.30582,red,20242.78768,113148,174
2022,Medium,69418.01753,gray,24205.84434,66080,175
2015,Compact,15000,blue,36558.57296,104648,176
2010,Compact,21796.25304,white,17992.73529,77291,177
2025,Medium,15000,silver,18586.50788,114716,178
2024,Large,119459.6294,other,28599.2894,96453,179
2027,Large,15000,red,31823.24747,36930,180
2022,Large,25657.13136,black,18019.2906,80498,181
2027,Medium,30371.04539,other,45896.92677,91317,182
2027,Medium,15000,gray,31387.52452,49620,183
2026,Large,92557.99166,black,15283.92611,60790,184
2008,Medium,45295.93846,black,45442.53846,59237,185
2026,Compact,28075.1989,silver,21443.38611,72829,186
2026,Large,15000,other,31163.24694,99933,187
2025,Compact,15000,silver,14757.81444,99929,188
2022,Compact,26586.98481,black,29224.12651,106129,189
2023,Medium,21464.7123,gray,11142.52337,77303,190
2027,Medium,30521.43219,red,10461.55377,78045,191
2022,Large,38436.91693,blue,42213.98056,90709,192
2027,Compact,68660.5843,blue,23564.22357,70223,193
2023,Compact,15000,other,22432.04632,93031,194
2022,Large,21528.59117,black,20829.28856,27693,195
2023,Medium,95650.09153,gray,23306.99497,89878,196
2025,Large,15000,other,37586.18381,123466,197
2022,Medium,22659.5632,red,13506.32328,141531,198
2020,Compact,40468.61206,other,30365.16541,84274,199
2024,Compact,15194.19446,black,7533.201103,97864,200
2022,Medium,15000,blue,19720.89572,73946,201
2025,Medium,37429.255,blue,11500.04861,90635,202
2027,Compact,15000,red,7551.41914,109600,203
2018,Medium,21255.31309,gray,31252.29201,113687,204
2024,Compact,15000,blue,40219.43535,74211,205
2024,Large,41091.62439,other,6361.353243,96642,206
2022,Medium,63691.18226,other,38886.44078,65501,207
