iter	Passed	Remaining
0	4	8722
1	7	7778
2	10	7189
3	13	6754
4	15	6375
5	21	7085
6	23	6770
7	25	6427
8	27	6115
9	30	6015
10	32	5868
11	34	5726
12	37	5665
13	39	5657
14	42	5590
15	44	5574
16	48	5631
17	50	5592
18	53	5574
19	55	5512
20	57	5428
21	60	5401
22	62	5351
23	64	5304
24	66	5246
25	69	5272
26	71	5228
27	74	5276
28	80	5478
29	83	5476
30	85	5445
31	87	5410
32	90	5369
33	91	5319
34	94	5278
35	96	5261
36	98	5217
37	100	5205
38	103	5218
39	106	5214
40	108	5205
41	112	5225
42	114	5209
43	117	5227
44	120	5228
45	122	5219
46	125	5214
47	128	5205
48	131	5226
49	134	5233
50	137	5246
51	140	5271
52	143	5270
53	145	5251
54	148	5259
55	152	5283
56	155	5296
57	157	5285
58	161	5314
59	164	5303
60	166	5294
61	169	5285
62	171	5274
63	174	5286
64	177	5272
65	179	5266
66	182	5252
67	184	5255
68	188	5268
69	190	5262
70	193	5248
71	196	5253
72	198	5242
73	201	5251
74	203	5233
75	206	5220
76	208	5197
77	210	5197
78	213	5191
79	215	5174
80	219	5193
81	221	5186
82	224	5178
83	226	5168
84	229	5169
85	231	5159
86	234	5152
87	236	5147
88	239	5137
89	241	5133
90	245	5142
91	248	5144
92	250	5139
93	252	5118
94	254	5110
95	257	5112
96	260	5104
97	263	5106
98	266	5115
99	269	5111
100	271	5099
101	273	5092
102	275	5082
103	278	5072
104	280	5058
105	283	5062
106	286	5064
107	288	5057
108	291	5062
109	294	5055
110	296	5050
111	300	5058
112	303	5069
113	306	5068
114	308	5063
115	311	5060
116	314	5055
117	316	5047
118	318	5033
119	320	5023
120	323	5016
121	325	5005
122	328	5016
123	331	5010
124	333	5008
125	336	5004
126	338	4991
127	340	4981
128	342	4969
129	346	4989
130	348	4976
131	351	4978
132	354	4979
133	357	4977
134	359	4972
135	362	4963
136	364	4951
137	366	4939
138	368	4928
139	369	4915
140	372	4905
141	374	4894
142	376	4883
143	378	4874
144	380	4864
145	382	4853
146	384	4851
147	387	4847
148	390	4845
149	392	4846
150	395	4845
151	398	4842
152	402	4855
153	405	4866
154	408	4863
155	410	4855
156	413	4856
157	417	4866
158	419	4861
159	423	4865
160	426	4872
161	429	4870
162	431	4864
163	434	4865
164	437	4865
165	439	4860
166	442	4860
167	445	4860
168	448	4864
169	451	4864
170	455	4867
171	457	4862
172	460	4859
173	462	4854
174	466	4859
175	468	4856
176	471	4856
177	473	4850
178	476	4847
179	480	4854
180	482	4852
181	485	4852
182	489	4856
183	492	4857
184	495	4857
185	497	4851
186	500	4850
187	503	4851
188	507	4862
189	510	4865
190	514	4868
191	517	4875
192	520	4877
193	524	4880
194	527	4881
195	531	4893
196	533	4884
197	535	4876
198	537	4868
199	540	4860
200	542	4852
201	545	4852
202	549	4861
203	551	4858
204	554	4856
205	556	4848
206	558	4840
207	561	4834
208	563	4830
209	565	4823
210	569	4829
211	572	4830
212	574	4823
213	577	4815
214	580	4822
215	582	4815
216	586	4820
217	588	4812
218	591	4810
219	594	4807
220	595	4796
221	598	4794
222	601	4796
223	603	4788
224	607	4789
225	609	4781
226	613	4791
227	617	4801
228	620	4795
229	622	4791
230	625	4792
231	628	4792
232	631	4789
233	633	4783
234	636	4778
235	639	4779
236	642	4780
237	645	4778
238	647	4774
239	650	4770
240	653	4766
241	655	4758
242	656	4749
243	658	4741
244	662	4743
245	664	4737
246	667	4733
247	669	4728
248	671	4720
249	673	4713
250	677	4717
251	679	4710
252	682	4712
253	684	4706
254	687	4703
255	690	4706
256	693	4703
257	696	4705
258	699	4699
259	701	4693
260	703	4690
261	705	4682
262	710	4691
263	712	4684
264	714	4676
265	717	4677
266	720	4676
267	723	4674
268	726	4676
269	729	4673
270	733	4678
271	736	4675
272	739	4676
273	742	4674
274	744	4670
275	748	4672
276	750	4670
277	754	4675
278	761	4695
279	763	4691
280	767	4693
281	770	4695
282	773	4689
283	775	4686
284	779	4689
285	781	4685
286	785	4687
287	787	4682
288	789	4675
289	793	4676
290	796	4675
291	799	4673
292	801	4669
293	804	4666
294	806	4664
295	809	4660
296	812	4659
297	816	4660
298	818	4656
299	822	4660
300	825	4657
301	828	4658
302	833	4670
303	837	4671
304	840	4671
305	844	4675
306	847	4674
307	850	4673
308	854	4678
309	859	4684
310	862	4686
311	866	4685
312	868	4683
313	873	4688
314	875	4682
315	877	4675
316	881	4678
317	883	4672
318	886	4670
319	889	4669
320	892	4667
321	894	4663
322	898	4663
323	900	4658
324	904	4659
325	905	4652
326	908	4647
327	911	4644
328	913	4641
329	916	4637
330	919	4636
331	922	4634
332	924	4628
333	927	4628
334	930	4625
335	933	4623
336	936	4622
337	939	4618
338	941	4612
339	944	4609
340	947	4609
341	950	4606
342	952	4603
343	955	4599
344	957	4595
345	961	4595
346	963	4591
