claim_number,subrogation,claim_est_payout,liab_prct,claim_date,claim_day_of_week,channel,zip_code,witness_present_ind,policy_report_filed_ind,in_network_bodyshop,accident_key,policyholder_key,vehicle_key,driver_key
6090851,1,3218.84,31,12/4/2016,Saturday,Broker,80040,Y,1,no,1.0,1.0,1.0,1.0
4653734,0,1338.52,34,4/25/2015,Wednesday,Phone,80030,N,1,yes,1.0,2.0,2.0,2.0
1014777,0,3540.05,39,6/22/2015,Thursday,Broker,50012,N,1,yes,2.0,3.0,3.0,3.0
8101873,1,1507.94,32,3/2/2015,Saturday,Phone,20138,N,1,yes,2.0,4.0,4.0,4.0
5081870,0,5080.63,28,1/12/2016,Sunday,Online,50033,N,0,yes,3.0,5.0,5.0,5.0
6723161,0,2129.24,48,10/25/2016,Monday,Phone,50005,N,1,no,4.0,6.0,6.0,6.0
5614715,0,568.92,53,10/4/2015,Wednesday,Broker,80027,N,0,no,5.0,7.0,7.0,7.0
7910228,0,3225.25,42,10/11/2015,Tuesday,Broker,20148,N,0,yes,6.0,8.0,8.0,8.0
3766827,0,2703.43,44,11/11/2016,Wednesday,Broker,15009,N,0,no,2.0,9.0,9.0,9.0
6847058,0,1868.3,25,9/17/2015,Sunday,Online,50050,N,1,yes,7.0,10.0,10.0,10.0
5405384,1,742.34,32,9/20/2015,Wednesday,Phone,15017,Y,1,no,8.0,11.0,11.0,11.0
6103948,0,786.04,52,4/30/2016,Wednesday,Phone,50025,N,1,no,4.0,12.0,12.0,12.0
3906840,0,2845.11,25,9/24/2015,Tuesday,Phone,50028,N,0,yes,8.0,13.0,13.0,13.0
2199195,1,2863.62,33,6/10/2016,Wednesday,Online,15025,Y,0,yes,9.0,14.0,14.0,14.0
4201906,0,1529.46,48,4/13/2015,Tuesday,Online,20104,N,1,yes,4.0,15.0,15.0,15.0
8209514,1,1596.05,38,5/3/2016,Thursday,Online,50008,Y,0,no,1.0,16.0,16.0,16.0
8715790,0,3793.66,47,7/4/2015,Sunday,Broker,80016,N,1,yes,5.0,17.0,17.0,17.0
5645470,0,3289.34,57,4/12/2016,Tuesday,Phone,80030,N,1,yes,5.0,18.0,18.0,18.0
3192810,0,4892.95,44,6/18/2016,Wednesday,Phone,20134,Y,1,yes,3.0,19.0,19.0,19.0
8619054,1,5150.61,35,7/4/2015,Tuesday,Broker,85027,Y,0,yes,7.0,20.0,20.0,20.0
7116107,1,4994.5,29,10/29/2016,Tuesday,Phone,50052,Y,1,yes,3.0,21.0,21.0,21.0
1020399,0,2545.97,48,1/28/2015,Thursday,Phone,15053,N,0,yes,2.0,22.0,22.0,22.0
1299595,0,1532.67,44,10/31/2016,Tuesday,Broker,20132,N,1,no,3.0,23.0,23.0,23.0
9439407,0,1972.9,23,10/4/2015,Friday,Online,15025,Y,0,yes,9.0,24.0,24.0,24.0
8823174,0,237.59,47,1/26/2015,Saturday,Online,50049,N,0,yes,6.0,25.0,25.0,25.0
4631839,0,2589.93,44,1/14/2015,Friday,Broker,50008,N,0,yes,6.0,26.0,26.0,26.0
5251993,0,521.91,37,1/19/2015,Monday,Broker,85021,Y,1,yes,1.0,27.0,27.0,27.0
4869264,0,7852.85,50,12/16/2015,Tuesday,Broker,85070,N,0,yes,5.0,28.0,28.0,28.0
5737542,0,6021.52,41,2/22/2016,Saturday,Online,15051,N,0,yes,10.0,29.0,29.0,29.0
2261150,0,10390.48,17,8/17/2015,Wednesday,Broker,80033,Y,0,yes,2.0,30.0,30.0,30.0
8724543,1,2053.51,28,5/19/2015,Monday,Broker,15001,N,1,yes,5.0,31.0,31.0,31.0
2914776,0,6560.2,38,3/5/2016,Monday,Phone,80104,N,1,yes,11.0,32.0,32.0,32.0
5389498,0,675.05,42,5/12/2015,Friday,Online,80047,Y,1,yes,10.0,33.0,33.0,33.0
7699461,0,2221.2,45,7/12/2015,Monday,Phone,50048,N,0,yes,6.0,34.0,34.0,34.0
8988779,0,3328.17,42,10/21/2016,Thursday,Online,80026,N,1,yes,9.0,35.0,35.0,35.0
9118605,0,2329.85,42,9/26/2015,Thursday,Broker,20129,N,1,yes,1.0,36.0,36.0,36.0
3339130,0,664.34,45,6/2/2016,Wednesday,Phone,50021,Y,0,yes,8.0,37.0,37.0,37.0
5290168,0,1473.24,18,7/30/2015,Thursday,Broker,50022,Y,0,no,11.0,38.0,38.0,38.0
6629346,0,4439.33,53,5/22/2016,Friday,Broker,85080,N,0,no,11.0,39.0,39.0,39.0
5648564,1,3534.18,32,6/10/2016,Thursday,Broker,85021,N,1,yes,3.0,40.0,40.0,40.0
1500641,1,649.91,37,1/11/2015,Wednesday,Broker,50051,Y,1,yes,10.0,41.0,41.0,41.0
2995317,0,2987.14,29,2/27/2015,Wednesday,Broker,50047,Y,0,no,9.0,42.0,42.0,42.0
4243415,0,5326.54,40,2/14/2016,Sunday,Phone,50009,N,1,yes,4.0,43.0,43.0,43.0
5318455,1,5627.02,34,3/22/2016,Friday,Broker,20102,N,1,no,5.0,44.0,44.0,44.0
7601282,1,711.64,26,5/14/2015,Friday,Online,50054,N,0,no,11.0,45.0,45.0,45.0
6579883,0,14096.63,38,1/3/2015,Saturday,Broker,20132,N,1,yes,12.0,46.0,46.0,46.0
5258394,0,3920.65,35,4/21/2016,Thursday,Broker,50009,N,1,yes,1.0,47.0,47.0,47.0
4755498,0,1700.23,35,10/8/2016,Tuesday,Broker,80033,N,0,yes,3.0,48.0,48.0,48.0
6311518,0,4563.85,58,2/10/2016,Sunday,Broker,85062,Y,0,no,12.0,49.0,49.0,49.0
3266443,0,889.4,45,1/6/2015,Saturday,Broker,85054,N,1,yes,4.0,50.0,50.0,50.0
6826642,0,3571.78,26,6/12/2016,Sunday,Phone,85040,N,1,yes,7.0,51.0,51.0,51.0
9035015,0,7727.16,39,6/11/2016,Thursday,Broker,80011,N,0,no,12.0,52.0,52.0,52.0
9478981,0,6661.56,31,10/14/2015,Wednesday,Broker,85038,N,1,no,8.0,53.0,53.0,53.0
9089420,0,1840.55,53,12/11/2016,Friday,Broker,50032,N,0,no,3.0,54.0,54.0,54.0
6833840,1,910.56,28,9/30/2015,Tuesday,Broker,85078,N,1,no,1.0,55.0,55.0,55.0
3539135,0,1765.56,43,8/24/2016,Monday,Phone,15025,Y,1,yes,10.0,56.0,56.0,56.0
