year_of_born,gender,age_of_DL,safety_rating,driver_key
1990,F,25,75,1
1972,F,23,94,2
2003,F,23,76,3
1983,F,23,54,4
1985,F,17,54,5
2002,M,26,95,6
1965,F,18,93,7
1967,F,21,90,8
1958,M,22,75,9
1987,M,24,79,10
1990,M,26,70,11
1983,F,19,87,12
1984,M,30,61,13
1994,M,20,90,14
1979,M,21,60,15
1965,F,19,72,16
1992,M,19,92,17
1971,F,28,78,18
1974,M,18,56,19
1956,F,19,48,20
1989,M,20,85,21
1990,F,23,64,22
1954,F,27,69,23
2004,M,25,68,24
1992,M,20,68,25
1980,F,18,93,26
1983,M,21,100,27
1977,M,22,86,28
1988,M,21,74,29
1988,M,19,95,30
1975,M,28,39,31
1974,F,27,70,32
1985,F,21,81,33
1975,F,20,47,34
2001,M,23,72,35
1981,F,17,49,36
1994,M,23,88,37
1979,F,20,79,38
1951,M,28,62,39
1986,M,21,86,40
1977,M,21,66,41
1954,M,25,80,42
1969,M,27,73,43
1975,F,24,90,44
1988,F,22,90,45
1991,F,23,79,46
1986,F,21,61,47
1983,M,28,80,48
1986,F,20,70,49
1995,M,20,75,50
1973,M,24,71,51
1970,F,24,100,52
1966,M,16,65,53
1961,F,25,73,54
1981,M,21,77,55
1979,F,21,91,56
1989,M,17,64,57
1983,M,24,93,58
1998,M,25,87,59
1954,F,22,77,60
1996,F,21,69,61
1981,M,26,80,62
1971,M,19,49,63
1964,M,22,91,64
1969,M,24,83,65
1994,F,20,72,66
1993,F,26,85,67
1991,M,26,49,68
1990,M,21,74,69
1977,M,27,77,70
1972,F,24,80,71
1976,M,21,51,72
2006,M,22,89,73
1994,M,18,89,74
1975,F,18,74,75
1979,M,16,93,76
1981,F,23,63,77
1964,F,18,71,78
1993,F,27,75,79
1983,M,23,80,80
1969,M,22,70,81
1975,M,19,86,82
1985,F,20,100,83
1984,F,17,87,84
1959,F,23,98,85
1991,M,22,90,86
1990,M,27,85,87
1992,F,19,84,88
1997,M,21,73,89
1980,M,22,100,90
1987,M,23,76,91
1979,M,25,97,92
1988,M,22,74,93
1982,M,24,71,94
1981,F,24,73,95
1972,M,16,60,96
1998,F,17,58,97
1992,F,19,99,98
1955,M,19,60,99
1998,M,21,86,100
1992,F,23,63,101
1987,F,26,75,102
1981,M,20,92,103
1982,F,19,78,104
1986,F,24,67,105
1976,F,22,93,106
1972,F,26,61,107
1975,F,22,62,108
1993,F,24,60,109
1982,F,24,69,110
1969,M,19,92,111
1996,F,20,69,112
1977,F,22,83,113
1970,F,17,68,114
1992,F,22,88,115
1963,M,18,93,116
1995,M,23,69,117
1992,M,25,84,118
1979,M,19,100,119
